quant,bits,group,rb,rc,rdt,layer_mode,ppl
fake,8,64,4,16,12,all,815.0966
fake,8,64,4,16,6,early,29.1890
fake,8,64,4,16,6,mid,35.9960
fake,8,64,4,16,6,late,262.9713
fake,8,64,4,16,6,all,958.0145
fake,8,64,4,8,48,early,33.1199
fake,8,64,4,8,48,mid,39.4108
fake,8,64,4,8,48,late,958.1653
fake,8,64,4,8,48,all,288512.4688
fake,8,64,4,8,36,early,34.0244
fake,8,64,4,8,36,mid,40.3139
fake,8,64,4,8,36,late,617.3196
fake,8,64,4,8,36,all,146671.8750
fake,8,64,4,8,24,early,35.2335
fake,8,64,4,8,24,mid,41.2928
fake,8,64,4,8,24,late,696.5361
fake,8,64,4,8,24,all,150149.9531
fake,8,64,4,8,12,early,36.5782
fake,8,64,4,8,12,mid,42.7209
fake,8,64,4,8,12,late,784.7935
fake,8,64,4,8,12,all,146421.1406
fake,8,64,4,8,6,early,38.0961
fake,8,64,4,8,6,mid,43.9300
fake,8,64,4,8,6,late,788.3859
fake,8,64,4,8,6,all,152669.3125
fake,8,64,4,4,48,early,34.5338
fake,8,64,4,4,48,mid,44.6376
fake,8,64,4,4,48,late,74689.3047
fake,8,64,4,4,48,all,1535891.1250
fake,8,64,4,4,36,early,35.5349
fake,8,64,4,4,36,mid,45.2983
fake,8,64,4,4,36,late,8978.6504
fake,8,64,4,4,36,all,374289.7812
fake,8,64,4,4,24,early,36.8303
fake,8,64,4,4,24,mid,46.0587
fake,8,64,4,4,24,late,8904.6592
fake,8,64,4,4,24,all,476203.1562
fake,8,64,4,4,12,early,38.2863
fake,8,64,4,4,12,mid,47.1955
fake,8,64,4,4,12,late,9007.1924
fake,8,64,4,4,12,all,609716.4375
fake,8,64,4,4,6,early,39.9196
fake,8,64,4,4,6,mid,48.1404
fake,8,64,4,4,6,late,7596.5439
fake,8,64,4,4,6,all,609860.6250
fake,8,128,16,16,48,early,25.1265
fake,8,128,16,16,48,mid,25.1336
fake,8,128,16,16,48,late,25.1404
fake,8,128,16,16,48,all,25.1397
fake,8,128,16,16,36,early,25.3452
fake,8,128,16,16,36,mid,25.6525
fake,8,128,16,16,36,late,97.0212
fake,8,128,16,16,36,all,88.3710
fake,8,128,16,16,24,early,25.6864
fake,8,128,16,16,24,mid,26.4397
fake,8,128,16,16,24,late,145.9845
fake,8,128,16,16,24,all,106.3775
fake,8,128,16,16,12,early,26.2694
fake,8,128,16,16,12,mid,28.0134
fake,8,128,16,16,12,late,216.4293
fake,8,128,16,16,12,all,138.2600
fake,8,128,16,16,6,early,27.0158
fake,8,128,16,16,6,mid,29.7944
fake,8,128,16,16,6,late,249.5046
fake,8,128,16,16,6,all,166.3708
fake,8,128,16,8,48,early,29.1509
fake,8,128,16,8,48,mid,32.1103
fake,8,128,16,8,48,late,44.2170
fake,8,128,16,8,48,all,175.5847
fake,8,128,16,8,36,early,29.8225
fake,8,128,16,8,36,mid,33.0843
fake,8,128,16,8,36,late,90.0712
fake,8,128,16,8,36,all,213.7495
fake,8,128,16,8,24,early,30.7306
fake,8,128,16,8,24,mid,34.4214
fake,8,128,16,8,24,late,131.5798
fake,8,128,16,8,24,all,258.2323
fake,8,128,16,8,12,early,31.9290
fake,8,128,16,8,12,mid,36.4204
fake,8,128,16,8,12,late,199.3818
fake,8,128,16,8,12,all,363.8201
fake,8,128,16,8,6,early,33.1740
fake,8,128,16,8,6,mid,37.7324
fake,8,128,16,8,6,late,229.9965
fake,8,128,16,8,6,all,448.0786
fake,8,128,16,4,48,early,31.9582
fake,8,128,16,4,48,mid,38.6788
fake,8,128,16,4,48,late,775.2931
fake,8,128,16,4,48,all,4832.8906
fake,8,128,16,4,36,early,32.8195
fake,8,128,16,4,36,mid,39.6996
fake,8,128,16,4,36,late,698.9370
fake,8,128,16,4,36,all,4150.5117
fake,8,128,16,4,24,early,33.9484
fake,8,128,16,4,24,mid,40.8410
fake,8,128,16,4,24,late,805.0199
fake,8,128,16,4,24,all,5573.3179
fake,8,128,16,4,12,early,35.3427
fake,8,128,16,4,12,mid,42.4309
fake,8,128,16,4,12,late,938.8986
fake,8,128,16,4,12,all,7203.5894
fake,8,128,16,4,6,early,36.8173
fake,8,128,16,4,6,mid,43.5396
fake,8,128,16,4,6,late,951.3718
fake,8,128,16,4,6,all,8014.1582
fake,8,128,8,16,48,early,25.8704
fake,8,128,8,16,48,mid,27.3077
fake,8,128,8,16,48,late,37.9989
fake,8,128,8,16,48,all,81.7251
fake,8,128,8,16,36,early,26.2199
fake,8,128,8,16,36,mid,28.1091
fake,8,128,8,16,36,late,103.7663
fake,8,128,8,16,36,all,128.2199
fake,8,128,8,16,24,early,26.6903
fake,8,128,8,16,24,mid,29.1129
fake,8,128,8,16,24,late,156.2932
fake,8,128,8,16,24,all,165.8855
fake,8,128,8,16,12,early,27.4312
fake,8,128,8,16,12,mid,30.8390
fake,8,128,8,16,12,late,226.2233
fake,8,128,8,16,12,all,242.7346
fake,8,128,8,16,6,early,28.2780
fake,8,128,8,16,6,mid,32.4341
fake,8,128,8,16,6,late,250.7658
fake,8,128,8,16,6,all,323.9651
fake,8,128,8,8,48,early,31.5054
fake,8,128,8,8,48,mid,34.8141
fake,8,128,8,8,48,late,172.8124
fake,8,128,8,8,48,all,11392.6416
fake,8,128,8,8,36,early,32.3678
