in_mode,out_mode,in_rank_x,out_rank,quant_type,quant_group,ppl,delta_ppl,svd_in_sec,svd_outW_sec,quant_in_sec,quant_outW_sec,eval_sec,tok_per_s,peak_vram_gb
early_mid,mid,1280,1536,int4,0,11.513966,2.519937,0.00,0.00,0.00,0.00,18.02,"11,021",9.24
early_mid,mid,1280,1536,int4,32,10.881905,1.887876,0.00,0.00,0.00,0.00,18.02,"11,021",9.24
early_mid,mid,1280,1536,int4,64,10.926035,1.932007,0.00,0.00,0.00,0.00,18.03,"11,020",9.24
early_mid,mid,1280,1536,int4,128,11.006631,2.012602,0.00,0.00,0.00,0.00,18.02,"11,021",9.24
early_mid,mid,1024,DENSE,none,0,10.335818,1.341789,22.69,0.00,0.00,0.00,17.64,"11,259",8.62
early_mid,mid,1024,DENSE,int8,0,10.337483,1.343454,22.68,0.00,0.03,0.00,17.65,"11,256",8.62
early_mid,mid,1024,DENSE,int8,32,10.338316,1.344287,22.67,0.00,0.03,0.00,17.65,"11,256",8.62
early_mid,mid,1024,DENSE,int8,64,10.339148,1.345120,22.66,0.00,0.03,0.00,17.65,"11,256",8.62
early_mid,mid,1024,DENSE,int8,128,10.338316,1.344287,22.67,0.00,0.03,0.00,17.64,"11,261",8.62
early_mid,mid,1024,DENSE,int4,0,10.633037,1.639008,22.66,0.00,0.03,0.00,17.64,"11,260",8.62
early_mid,mid,1024,DENSE,int4,32,10.459338,1.465309,22.67,0.00,0.03,0.00,17.62,"11,271",8.62
early_mid,mid,1024,DENSE,int4,64,10.474723,1.480694,22.67,0.00,0.03,0.00,17.64,"11,263",8.62
early_mid,mid,1024,DENSE,int4,128,10.497738,1.503709,22.64,0.00,0.03,0.00,17.64,"11,260",8.62
early_mid,mid,1024,1792,none,0,10.748416,1.754387,0.00,0.00,0.00,0.00,17.78,"11,171",9.16
early_mid,mid,1024,1792,int8,0,10.754261,1.760232,0.00,0.00,0.00,0.00,17.87,"11,118",9.16
early_mid,mid,1024,1792,int8,32,10.748416,1.754387,0.00,0.00,0.00,0.00,17.78,"11,172",9.16
early_mid,mid,1024,1792,int8,64,10.750147,1.756119,0.00,0.00,0.00,0.00,17.78,"11,173",9.16
early_mid,mid,1024,1792,int8,128,10.748416,1.754387,0.00,0.00,0.00,0.00,17.79,"11,169",9.16
early_mid,mid,1024,1792,int4,0,11.585127,2.591098,0.00,0.00,0.00,0.00,17.78,"11,173",9.16
early_mid,mid,1024,1792,int4,32,11.011286,2.017257,0.00,0.00,0.00,0.00,17.87,"11,117",9.16
early_mid,mid,1024,1792,int4,64,11.061285,2.067256,0.00,0.00,0.00,0.00,17.87,"11,116",9.16
early_mid,mid,1024,1792,int4,128,11.120912,2.126883,0.00,0.00,0.00,0.00,17.79,"11,170",9.16
early_mid,mid,1024,1536,none,0,11.182212,2.188183,0.00,0.00,0.00,0.00,17.58,"11,297",9.08
early_mid,mid,1024,1536,int8,0,11.197758,2.203729,0.00,0.00,0.00,0.00,17.67,"11,242",9.08
early_mid,mid,1024,1536,int8,32,11.183112,2.189083,0.00,0.00,0.00,0.00,17.67,"11,244",9.08
early_mid,mid,1024,1536,int8,64,11.185815,2.191786,0.00,0.00,0.00,0.00,17.67,"11,244",9.08
early_mid,mid,1024,1536,int8,128,11.185589,2.191561,0.00,0.00,0.00,0.00,17.58,"11,299",9.08
early_mid,mid,1024,1536,int4,0,12.139642,3.145614,0.00,0.00,0.00,0.00,17.59,"11,297",9.08
early_mid,mid,1024,1536,int4,32,11.497749,2.503720,0.00,0.00,0.00,0.00,17.59,"11,296",9.08
early_mid,mid,1024,1536,int4,64,11.560194,2.566165,0.00,0.00,0.00,0.00,17.59,"11,295",9.08
early_mid,mid,1024,1536,int4,128,11.636092,2.642063,0.00,0.00,0.00,0.00,17.67,"11,243",9.08


BASE,BASE,DENSE,DENSE,none,0,8.993667,0.000000,0.00,0.00,0.00,0.00,18.63,"10,664",8.00
BASE,BASE,DENSE,DENSE,none,0,8.994029,0.000000,0.00,0.00,0.00,0.00,18.63,"10,664",8.00
early_mid,mid,DENSE,DENSE,none,0,8.994029,0.000000,0.00,0.00,0.00,0.00,18.63,"10,665",8.00
early_mid,mid,DENSE,DENSE,int8,32,8.994029,0.000000,0.00,0.00,0.00,0.00,18.64,"10,658",8.00
early_mid,mid,DENSE,DENSE,int8,64,8.994029,0.000000,0.00,0.00,0.00,0.00,18.69,"10,631",8.00
early_mid,mid,DENSE,DENSE,int4,32,8.994029,0.000000,0.00,0.00,0.00,0.00,18.74,"10,603",8.00
early_mid,mid,DENSE,DENSE,int4,64,8.994029,0.000000,0.00,0.00,0.00,0.00,18.74,"10,603",8.00
early_mid,mid,DENSE,1792,none,0,9.436865,0.442837,0.00,11.31,0.00,0.00,18.87,"10,529",8.54
early_mid,mid,DENSE,1792,int8,32,9.436485,0.442457,0.00,11.19,0.00,0.04,18.87,"10,528",8.54
early_mid,mid,DENSE,1792,int8,64,9.437626,0.443597,0.00,11.20,0.00,0.02,18.91,"10,503",8.54
early_mid,mid,DENSE,1792,int4,32,9.559261,0.565233,0.00,11.20,0.00,0.02,18.97,"10,469",8.54
early_mid,mid,DENSE,1792,int4,64,9.596096,0.602067,0.00,11.21,0.00,0.02,18.96,"10,476",8.54
early_mid,mid,DENSE,1536,none,0,9.809034,0.815005,0.00,11.21,0.00,0.00,18.76,"10,588",8.47
early_mid,mid,DENSE,1536,int8,32,9.810219,0.816190,0.00,11.21,0.00,0.02,18.77,"10,581",8.47
early_mid,mid,DENSE,1536,int8,64,9.809034,0.815005,0.00,11.21,0.00,0.02,18.78,"10,580",8.47
early_mid,mid,DENSE,1536,int4,32,9.956886,0.962857,0.00,11.21,0.00,0.02,18.77,"10,582",8.47
early_mid,mid,DENSE,1536,int4,64,10.006327,1.012299,0.00,11.21,0.00,0.02,18.77,"10,582",8.47
early_mid,mid,1280,DENSE,none,0,9.759388,0.765359,22.71,0.00,0.00,0.00,18.18,"10,924",8.77
early_mid,mid,1280,DENSE,int8,32,9.759388,0.765359,22.72,0.00,0.04,0.00,18.19,"10,922",8.77
early_mid,mid,1280,DENSE,int8,64,9.760174,0.766145,22.72,0.00,0.03,0.00,18.18,"10,926",8.77
early_mid,mid,1280,DENSE,int4,32,9.860918,0.866889,22.74,0.00,0.04,0.00,18.19,"10,924",8.77
early_mid,mid,1280,DENSE,int4,64,9.865883,0.871854,22.81,0.00,0.03,0.00,18.19,"10,923",8.77
early_mid,mid,1280,1792,none,0,10.185620,1.191592,0.00,0.00,0.00,0.00,18.31,"10,852",9.31
early_mid,mid,1280,1792,int8,32,10.184800,1.190771,0.00,0.00,0.00,0.00,18.30,"10,853",9.31
early_mid,mid,1280,1792,int8,64,10.185826,1.191797,0.00,0.00,0.00,0.00,18.31,"10,850",9.31
early_mid,mid,1280,1792,int4,32,10.430105,1.436076,0.00,0.00,0.00,0.00,18.31,"10,852",9.31
early_mid,mid,1280,1792,int4,64,10.460812,1.466784,0.00,0.00,0.00,0.00,18.30,"10,853",9.31
early_mid,mid,1280,1536,none,0,10.589877,1.595848,0.00,0.00,0.00,0.00,18.11,"10,968",9.24
early_mid,mid,1280,1536,int8,32,10.589024,1.594995,0.00,0.00,0.00,0.00,18.11,"10,971",9.24
early_mid,mid,1280,1536,int8,64,10.592436,1.598407,0.00,0.00,0.00,0.00,18.11,"10,968",9.24
early_mid,mid,1280,1536,int4,32,10.881905,1.887876,0.00,0.00,0.00,0.00,18.11,"10,968",9.24
early_mid,mid,1280,1536,int4,64,10.926035,1.932007,0.00,0.00,0.00,0.00,18.11,"10,969",9.24
early_mid,mid,1024,DENSE,none,0,10.335818,1.341789,22.72,0.00,0.00,0.00,17.72,"11,208",8.62
early_mid,mid,1024,DENSE,int8,32,10.338316,1.344287,22.68,0.00,0.03,0.00,17.73,"11,205",8.62
early_mid,mid,1024,DENSE,int8,64,10.339148,1.345120,22.71,0.00,0.03,0.00,17.71,"11,216",8.62
early_mid,mid,1024,DENSE,int4,32,10.459338,1.465309,22.66,0.00,0.03,0.00,17.72,"11,210",8.62
early_mid,mid,1024,DENSE,int4,64,10.474723,1.480694,22.67,0.00,0.03,0.00,17.72,"11,211",8.62
early_mid,mid,1024,1792,none,0,10.748416,1.754387,0.00,0.00,0.00,0.00,17.87,"11,119",9.16
early_mid,mid,1024,1792,int8,32,10.748416,1.754387,0.00,0.00,0.00,0.00,17.86,"11,121",9.16
